wave,flux
3612.1902,14.483706
3613.023,14.507144
3613.8542,14.648866
3614.6855,14.81488
3615.519,14.938662
3616.3508,15.040347
3617.1848,15.164747
3618.0168,15.283345
3618.851,15.293351
3619.6838,15.116462
3620.5166,14.791807
3621.351,14.477385
3622.1843,14.347808
3623.0198,14.468161
3623.853,14.762662
3624.6887,15.092854
3625.5227,15.354113
3626.3567,15.531688
3627.1929,15.6950655
3628.0273,15.913152
3628.864,16.160341
3629.6987,16.327236
3630.5356,16.312567
3631.371,16.073954
3632.2063,15.622639
3633.044,15.041099
3633.8796,14.500358
3634.7175,14.1769905
3635.554,14.11852
3636.3923,14.228908
3637.2288,14.392412
3638.0654,14.569179
3638.9043,14.772893
3639.7415,15.013319
3640.581,15.279884
3641.4185,15.543236
3642.258,15.754393
3643.096,15.862105
3643.934,15.843069
3644.7742,15.713554
3645.6128,15.515307
3646.4534,15.295096
3647.2922,15.09241
3648.1333,14.927899
3648.9727,14.792288
3649.812,14.667643
3650.6538,14.574043
3651.4937,14.568524
3652.3354,14.687612
3653.1758,14.915991
3654.0183,15.207477
3654.859,15.50773
3655.6997,15.762406
3656.5427,15.937962
3657.3838,16.047077
3658.227,16.136953
3659.0688,16.243427
3659.9126,16.363316
3660.7544,16.46826
3661.5967,16.530443
3662.441,16.535782
3663.2834,16.485384
3664.1282,16.386171
3664.9712,16.247456
3665.8164,16.098879
3666.6597,15.992906
3667.5032,15.959979
3668.3489,15.969654
3669.1926,15.960182
3670.039,15.895455
3670.8833,15.782197
3671.7297,15.666788
3672.5745,15.628875
3673.4192,15.727953
3674.266,15.928087
3675.1113,16.110575
3675.9592,16.185274
3676.8047,16.160538
3677.6526,16.084297
3678.4985,15.960179
3679.347,15.764798
3680.1934,15.515214
3681.0398,15.270497
3681.8884,15.086986
3682.7358,15.003429
3683.585,15.035247
3684.4324,15.151534
3685.282,15.282636
3686.1296,15.359412
3686.978,15.333961
3687.828,15.191054
3688.6763,14.970354
3689.527,14.767546
3690.3757,14.693658
3691.2266,14.814675
3692.0757,15.111614
3692.9253,15.487549
3693.777,15.809162
3694.6265,15.963124
3695.4788,15.919457
3696.3286,15.757175
3697.181,15.6008625
3698.0317,15.522554
3698.882,15.524348
3699.7354,15.598021
3700.5867,15.747081
3701.4397,15.939814
3702.2913,16.084784
3703.1448,16.084108
3703.997,15.899211
3704.849,15.550926
3705.7031,15.082466
3706.5557,14.556957
3707.4106,14.074006
3708.2637,13.74008
3709.1184,13.602233
3709.972,13.624211
3710.8254,13.741537
3711.6812,13.929935
3712.535,14.202808
3713.391,14.557393
3714.2454,14.95659
3715.1016,15.355229
3715.9563,15.704513
3716.811,15.937403
3717.6682,15.9981785
3718.5234,15.890243
3719.3813,15.654629
3720.2366,15.304065
3721.0942,14.826909
3721.9504,14.263147
3722.8071,13.733726
3723.6653,13.381087
3724.522,13.299798
3725.3806,13.507656
3726.2375,13.935988
3727.0972,14.437432
3727.9546,14.835519
3728.812,15.014465
3729.672,15.002775
3730.53,14.948522
3731.3901,14.957322
3732.2488,14.973902
3733.1091,14.86195
3733.968,14.552008
3734.8271,14.076963
3735.688,13.530699
3736.5476,13.039547
3737.4094,12.727536
3738.269,12.6615925
3739.1313,12.834918
3739.9915,13.206452
3740.8518,13.727519
3741.714,14.321479
3742.575,14.870465
3743.4382,15.246603
3744.299,15.366469
3745.1626,15.233083
3746.0244,14.928816
3746.888,14.554648
3747.7502,14.174623
3748.6125,13.811227
3749.4768,13.45952
3750.339,13.106119
3751.204,12.785341
3752.0671,12.614481
3752.9324,12.71483
3753.7957,13.089851
3754.6592,13.620673
3755.525,14.180493
3756.389,14.70689
3757.255,15.149638
3758.1194,15.404983
3758.986,15.366241
3759.8508,15.053094
3760.7158,14.658834
3761.5833,14.424865
3762.4485,14.453101
3763.316,14.653177
3764.182,14.856739
3765.0498,14.954081
3765.9158,14.942031
3766.782,14.877833
3767.651,14.789155
3768.5173,14.644381
3769.3867,14.432164
3770.2537,14.218584
3771.123,14.072864
3771.991,13.992477
3772.8584,13.962589
3773.7285,14.028025
3774.5964,14.232212
3775.467,14.528105
3776.3354,14.8166275
3777.2063,15.054195
3778.0752,15.278798
3778.9443,15.53909
3779.8157,15.834188
3780.6855,16.133627
3781.5574,16.422411
3782.427,16.690838
3783.2993,16.906015
