# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, gal_temp_amp, na_oiii5007_core_fwhm, br_feii_amp, na_feii_amp, br_Hb_amp, br_Hb_voff, power_amp, na_Hb_core_voff, power_slope, na_oiii5007_core_amp
1000, -10.439756878247234, 0.8161031068184342, 9994.114587390375, 0.4533832750659469, 526.8113809816276, 0.12740391253509126, 0.07278600779551922, 0.6003719513815649, -43.94685645799878, 1.212148141684095, -614.2775629427782, -1.5897202346527188, 6.625728738023058
1100, -10.750395346902557, 0.7907810714118025, 9992.861693527171, 0.456189346033698, 520.37808435614, 0.10846992705852904, 0.08720578226513714, 0.600929008998832, 64.89306843778036, 1.2151335724329622, -641.0657870791796, -1.6017674764712986, 6.586409444951177
1200, -11.464059460536474, 0.8172442734651956, 9990.109947484205, 0.4859869986751839, 519.4375771805672, 0.10986315573586483, 0.08464837734491326, 0.6055580146409205, 235.08918200822723, 1.174655095206881, -653.1743585081084, -1.6374691657764566, 6.579604956003907
1300, -10.210619896639564, 0.7750759948403406, 9982.470239476343, 0.49867966272991615, 521.7185969737632, 0.0999017530892295, 0.0914999584839886, 0.611010761523451, 268.12866284910587, 1.1606928459409027, -656.7709533275003, -1.6635583240323553, 6.627997666149191
1400, -10.512765323847828, 0.8198768511858152, 9967.865184047712, 0.5383733279605077, 522.3145490928915, 0.09892018151373395, 0.09030441011705695, 0.6122592219206465, 330.091288469662, 1.1295575864457807, -663.0492047720243, -1.685119069071517, 6.606862390595566
1500, -12.266462097459891, 0.8222754403735715, 9957.923533572268, 0.5138875299552159, 516.9466867683547, 0.09213179302543342, 0.0844018950047059, 0.6042865693392137, 359.2409341117459, 1.1557181386020625, -658.8942855732921, -1.6650801758179117, 6.620504871613135
1600, -10.648386927798903, 0.8248898877139034, 9954.16761301948, 0.503424561943468, 515.2224964218505, 0.09736437270861745, 0.08737237897572504, 0.5920602095207291, 364.4446990972599, 1.1623120868647607, -656.6684022325582, -1.65093290930924, 6.653704923487873
1700, -9.196444864747807, 0.822830993105713, 9930.966226816829, 0.5251687926914299, 515.3308165221629, 0.08876960473670396, 0.0760388157634875, 0.5918560398493063, 366.95730296221757, 1.1427965926026291, -664.995544600496, -1.679434089510216, 6.674225043163384
1800, -9.21196009742669, 0.8149304896166611, 9919.467213500197, 0.5339073861617442, 520.0055270937371, 0.09747608755747775, 0.0712579500104641, 0.5994401667018292, 370.0952564908825, 1.1244754774483772, -660.9297273462759, -1.7278423202577446, 6.650215571426044
1900, -8.812429480850254, 0.8017557693660183, 9880.284620291173, 0.5258370355414111, 521.9766354820283, 0.09889665932755458, 0.08776762287165683, 0.5975415019534265, 336.9267134814347, 1.1355818056258506, -661.0080864036314, -1.6916884337901954, 6.615798776517964
2000, -8.367468972096377, 0.8170797716354907, 9850.273252099289, 0.519791001449684, 520.1826166458712, 0.09292037995159745, 0.08265728926414728, 0.5911980514428816, 358.32274525222255, 1.1472706674312017, -657.6937929119689, -1.703530369508953, 6.626978592292669
2100, -8.971639755949052, 0.8059929891909698, 9805.977367916063, 0.521104974418521, 517.0628772471887, 0.08742313056271075, 0.09280147768740096, 0.5894289709177412, 317.5989798624163, 1.1392130944667718, -663.5687821969068, -1.715963974328246, 6.6233465557317555
2200, -9.627820688153069, 0.7912515561777105, 9692.16126112757, 0.5281986256952811, 516.8252374608559, 0.09087585303519254, 0.08399380438634788, 0.5957227750379774, 369.79370564342935, 1.1404612401459342, -660.2257951077239, -1.724553680517455, 6.643049639364042
2300, -8.247259142547417, 0.7968381991437168, 9644.41228904121, 0.5534927263817756, 522.967477082416, 0.0978017746733871, 0.08007233521287879, 0.5978142995012212, 327.3137753373133, 1.1128945856571415, -662.7192291895589, -1.7708727935779, 6.605542591871213
