# iter, na_oiii5007_core_voff, na_Hb_core_amp, br_Hb_fwhm, na_oiii5007_core_fwhm, stel_vel, na_feii_amp, stel_disp, br_Hb_amp, br_Hb_voff, power_amp, na_Hb_core_voff, power_slope, br_feii_amp, na_oiii5007_core_amp
1100, -11.6312759273, 0.913285402807, 9961.78310454, 512.621249064, -11.2780108939, 0.0822360154782, 181.856265144, 0.561583845815, 284.951608092, 0.428174648688, -593.276618181, -0.865813805876, 0.0887964711234, 6.58441040086
1200, -11.4155796267, 0.92930574965, 9947.35746075, 514.89667321, -44.3801720903, 0.0747985739214, 195.478779339, 0.557096623701, 416.356496881, 0.382170721978, -583.982088164, -0.907823299272, 0.086667505956, 6.6092423468
1300, -10.5135871711, 0.971517894177, 9928.72705615, 514.324034775, -87.3857473865, 0.0848530921548, 200.016622213, 0.556291412268, 431.348180621, 0.348057765653, -563.210897671, -0.949861579687, 0.0866101462822, 6.60661892435
1400, -9.99393736599, 0.967676343691, 9917.26995768, 511.836183561, -112.68232247, 0.0933651923514, 200.96272965, 0.552352249216, 424.554944469, 0.374399019393, -552.700611393, -0.994238434544, 0.0921178911608, 6.58430387701
1500, -9.688393932, 1.01695535567, 9910.37804369, 515.643766795, -128.669626944, 0.0891549522329, 190.314087769, 0.552128153904, 441.060425475, 0.333740535727, -512.649903913, -1.15392375656, 0.0938912182167, 6.5809812485
1600, -10.157319699, 1.00118331376, 9896.17343973, 512.837059344, -153.236799856, 0.0964934364545, 185.550113549, 0.568975848184, 432.546009471, 0.304036220922, -528.118470901, -1.07741810083, 0.0872392452977, 6.61932128645
1700, -10.0822316728, 1.06760615702, 9871.40431746, 512.376365212, -173.717626589, 0.0978822989767, 185.923778353, 0.564657015562, 408.250789973, 0.265495136288, -513.240006262, -1.27724207956, 0.0846612343875, 6.64612654907
1800, -8.5283666662, 1.03112838554, 9840.42094485, 510.226290448, -163.618051041, 0.0828316742199, 162.978697117, 0.567927788162, 438.313677381, 0.276420932112, -504.165910002, -1.07605118711, 0.0862335374519, 6.65739692798
1900, -7.92456179284, 1.02666957746, 9773.08827354, 510.588859948, -151.704058677, 0.0835619762993, 164.262223526, 0.562563335409, 450.141940629, 0.281386791158, -537.38352032, -1.17673397483, 0.0848421799674, 6.65394703443
2000, -8.09269963679, 1.00719627007, 9749.55824751, 511.047988743, -157.807293319, 0.078496848784, 163.35069795, 0.568852393129, 377.076971562, 0.332777682333, -554.392966057, -1.07798492404, 0.0770299879507, 6.64981439763
2100, -8.18138044385, 1.01160723856, 9688.8968063, 514.641596496, -160.152421568, 0.0834399281043, 177.455519021, 0.56307148261, 343.81822988, 0.292720288795, -566.499459079, -1.01706154169, 0.0821072845061, 6.63058323752
2200, -8.35752405773, 1.01835887454, 9585.77957508, 514.280137248, -164.976516715, 0.0852124507522, 181.848664053, 0.56752461802, 357.182780419, 0.260527229139, -583.251904084, -0.949085152931, 0.0680304017502, 6.61397738421
2300, -8.22458326313, 0.987640873366, 9442.63253819, 515.295653379, -166.007673949, 0.0865129984563, 188.632138261, 0.571984733289, 375.271294078, 0.238101149349, -568.093492164, -0.964653819385, 0.065421925366, 6.61946991419
2400, -8.47065150477, 0.980898447369, 9238.88749294, 515.828589142, -179.525523102, 0.108718282552, 189.524651799, 0.575090109644, 342.137182441, 0.212631941196, -551.744272995, -0.96822219951, 0.0597848740457, 6.61424969672
2500, -8.72197547542, 1.00988680667, 9020.92267448, 516.738455361, -176.324941962, 0.0844268914189, 185.360134359, 0.579959547059, 292.208004071, 0.243996512542, -514.493580439, -0.938613301391, 0.06526901962, 6.63502195261
2600, -8.10112629536, 0.970986949284, 8906.35740016, 517.155788427, -173.8605842, 0.0807662784173, 190.903013817, 0.587178404263, 281.671755951, 0.20724912888, -550.755752549, -1.15634177821, 0.0600846232855, 6.61869730375
