# iter, br_Ha_amp, br_Ha_voff, na_Ha_outflow_voff, na_Ha_core_voff, stel_vel, na_feii_amp, stel_disp, na_Ha_outflow_fwhm, na_Ha_outflow_amp, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, br_Ha_fwhm, na_Ha_core_amp, na_sii6732_core_amp, power_slope, br_feii_amp, na_sii6718_core_amp
5200, 13.3208494065, 257.164619663, -191.331266639, 94.065844974, 139.048091181, 2.23614263063, 192.4762515, 1176.45021668, 44.4163835756, 167.304443743, 11.5232622669, 76.5350515401, 4926.99032806, 135.650636296, 12.0468197426, -0.194083126012, 3.59962605001, 12.4193289277
5300, 13.2014089695, 266.621265873, -191.959968387, 94.0746607594, 133.302355125, 2.63445374117, 199.794032303, 1178.86932654, 44.4527352547, 167.448825593, 11.3622752465, 76.8005131507, 4966.7545203, 135.756042496, 12.0316341244, -0.177807636369, 3.55737381599, 12.3827846959
5400, 13.2726399083, 258.784776016, -191.852870389, 94.0032221245, 134.447950752, 2.61886599045, 199.679948701, 1181.8463307, 44.3917496954, 167.512758474, 11.3742313039, 76.8244870661, 4975.46175991, 135.780641507, 12.0607333067, -0.180974495972, 3.48918549045, 12.3204070521
5500, 13.3972027966, 258.473902491, -191.812195802, 94.1671905609, 144.319300048, 2.53169927202, 190.425856355, 1177.21679771, 44.4203389582, 167.976841693, 11.3864935303, 76.7753217189, 4945.91520186, 135.725711229, 12.105498571, -0.20801054764, 3.45552147746, 12.2779995078
5600, 13.2891581061, 264.264166987, -190.275765456, 94.2512515148, 143.409320009, 2.4895927755, 192.682045215, 1182.49373714, 44.5235908981, 168.117104905, 11.6415831674, 76.7066291869, 4957.65951071, 135.568466999, 12.0353168552, -0.152285731282, 3.43859425218, 12.282317714
5700, 13.3550235809, 257.183821772, -190.747202767, 93.972292769, 135.283126937, 2.62567787843, 200.813784668, 1177.26881298, 44.5098019501, 168.056917701, 11.4614443102, 76.6228025234, 4923.02517098, 135.395812214, 12.0294654502, -0.177820972386, 3.41923704097, 12.2834321047
5800, 13.3787170794, 255.205961994, -190.877877666, 93.8278708626, 137.730655824, 2.56059375765, 196.996893239, 1174.35702532, 44.4186349924, 167.284863889, 11.4368466277, 76.6127135717, 4915.87301655, 135.534548434, 12.0624918052, -0.169345999773, 3.41332635067, 12.2801961863
5900, 13.3484240416, 260.763347838, -191.792754299, 93.6886562685, 137.455467198, 2.63968996964, 200.768886295, 1174.16060106, 44.4066559857, 167.100014906, 11.3290027285, 76.6393809176, 4917.79710293, 135.106046587, 12.0481400161, -0.182174722432, 3.42425441516, 12.2805593656
6000, 13.420136803, 262.582657667, -191.407699623, 94.0266561967, 146.157456138, 2.29110660515, 179.941611447, 1174.41017213, 44.4293629913, 167.157779165, 11.7656998265, 76.5895188839, 4905.0417394, 135.276554797, 12.0172686673, -0.160073458026, 3.51842060363, 12.3254880321
6100, 13.3173890381, 266.451751661, -192.54233517, 94.1821320229, 140.598604559, 2.11434032229, 179.873075041, 1182.02122899, 44.3580759826, 167.195130388, 12.1787284982, 76.6142752884, 4933.96662735, 135.46785019, 12.0118486809, -0.19804151245, 3.51279926745, 12.3459237328
