# iter, br_Ha_amp, br_Hb_fwhm, br_feii_amp, na_oiii5007_outflow_fwhm, br_Ha_fwhm, br_Hb_voff, na_oiii5007_outflow_voff, na_oiii5007_core_fwhm, na_feii_amp, na_Ha_core_voff, na_oiii5007_core_amp, na_Hb_core_amp, stel_disp, stel_vel, na_sii6718_core_amp, na_sii6732_core_amp, na_oiii5007_core_voff, br_Ha_voff, br_Hb_amp, na_Ha_core_fwhm, power_amp, na_nii6585_core_amp, na_oiii5007_outflow_amp, na_Ha_core_amp, power_slope, na_Hb_core_voff
2000, 24.4121508043, 3794.64102487, 5.72319039451, 958.000911008, 3539.1379983, 276.659648432, -198.341438465, 220.688910069, 0.339981603333, 95.8754627547, 57.3664799119, 40.7150876427, 110.74043981, 131.207333133, 14.0216517786, 13.1484694801, 10.7568119755, 122.964712439, 13.384785591, 168.255390402, 8.66839902248, 76.3590910536, 15.867795629, 140.986784086, 1.35444508584, 94.1874089748
2100, 23.9535098818, 3780.97049173, 5.74748929782, 959.486134897, 3571.23653273, 271.026108768, -197.576213656, 219.965110233, 0.335970138951, 95.9026033598, 57.359969385, 40.4520981326, 111.266487207, 129.889971565, 13.9777543038, 13.0523747052, 10.8998731291, 121.755347839, 13.4427840328, 167.398985565, 8.76817899789, 76.6203072148, 15.9861834318, 140.773481397, 1.32900164562, 93.6566925835
2200, 23.8198474044, 3785.68270777, 5.75229716642, 963.421198307, 3583.73092187, 275.624520449, -197.761478054, 220.69063375, 0.339761529221, 96.1206572105, 56.9269174579, 40.5523799012, 111.088975263, 131.106141822, 13.9828477607, 13.0698408064, 10.7880613774, 119.50716525, 13.3348894841, 167.936244594, 8.654371738, 76.7120299671, 16.0450155987, 140.870105316, 1.36383088861, 94.0069419829
2300, 23.5904822623, 3785.11955262, 5.74501696434, 961.578665224, 3609.86880399, 277.65206225, -197.602270367, 220.570213479, 0.333734334929, 96.2175342929, 56.995721881, 40.5479153282, 111.102631866, 131.910747288, 13.9582767899, 13.1451807273, 11.3365964137, 120.229480521, 13.2898766882, 168.226291811, 8.76386408889, 76.6887966446, 16.090528477, 140.721530307, 1.35275948351, 94.5402837182
2400, 23.2616076627, 3785.37579437, 5.71583607997, 966.390404626, 3645.88384926, 275.040881743, -197.62693294, 220.479820955, 0.297872755007, 96.0734711566, 56.812698628, 40.4250020308, 112.332305081, 132.73597887, 13.9707627865, 13.0649913994, 11.0014818808, 122.794362224, 13.2908172176, 168.601316978, 8.82285853731, 76.6334460613, 16.1046812144, 140.740887477, 1.32265074451, 94.1668816534
2500, 23.0672922024, 3808.57477124, 5.72872371403, 969.724026176, 3657.59112134, 277.061250618, -198.493714692, 220.353864223, 0.302522042286, 95.9736877202, 56.7330322259, 40.3379912423, 112.221385681, 133.018628985, 13.8991985305, 13.0830063882, 10.7719707541, 123.406466635, 13.2071384318, 168.045869307, 8.90218988419, 76.6521108918, 16.1593506376, 140.82516618, 1.29825725485, 94.4377556712
2600, 22.8675212603, 3809.45536797, 5.69472161952, 971.226557787, 3682.78914155, 278.167899187, -196.357117461, 220.318706288, 0.3328670397, 95.8243044668, 56.7432701956, 40.2060816299, 110.375246321, 131.637137507, 13.8470103646, 13.1048074456, 10.8350373136, 122.291549828, 13.2091669147, 167.68820792, 8.90687526769, 76.5536771722, 16.1923947015, 140.895124006, 1.31148672302, 94.3003968509
2700, 22.6770593707, 3796.73570908, 5.69682017648, 973.614481036, 3690.8493405, 273.257030879, -196.449486279, 221.561969013, 0.336810461471, 95.8857748049, 56.6914116987, 40.1556729865, 110.788348709, 131.00784842, 13.8320917527, 13.0321843022, 11.1110067373, 125.031960163, 13.266347326, 167.315486789, 8.93607764588, 76.592518147, 16.1881542129, 140.683225429, 1.29947685157, 94.5709477257
2800, 22.5532490612, 3792.2453666, 5.71104202845, 979.513788764, 3694.91397994, 274.442764516, -197.460107346, 221.313446383, 0.346187143127, 95.9898674704, 56.6500397089, 40.1594644524, 111.633882733, 131.047032799, 13.9283084202, 13.0485283185, 10.8494931677, 126.0258017, 13.2748312679, 167.148515748, 9.01132536049, 76.5709028897, 16.1006012209, 141.059287825, 1.28933580886, 94.9923738464
2900, 22.4780584028, 3796.74542055, 5.71685724711, 981.770504826, 3706.77196918, 274.525008261, -196.208699456, 221.782315344, 0.312800156026, 95.8923265864, 56.4907975877, 40.038576449, 110.422292661, 130.854042347, 13.9075232777, 13.0162793036, 10.7189216388, 124.794380652, 13.1961351311, 167.123705246, 8.97279877008, 76.564414799, 16.0913967816, 141.149883855, 1.31080746384, 95.4076671602
